,pokedex_number,name,generation,species,type_1,type_2,height_m,weight_kg,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed
23,18,Mega Pidgeot,1,Bird Pokémon,Normal,Flying,2.2,50.5,No Guard,None,None,579,83,80,80,135,80,121
24,19,Rattata,1,Mouse Pokémon,Normal,None,0.3,3.5,Run Away,Guts,Hustle,253,30,56,35,25,35,72
25,19,Alolan Rattata,1,Mouse Pokémon,Dark,Normal,0.3,3.8,Gluttony,Hustle,Thick Fat,253,30,56,35,25,35,72
26,20,Raticate,1,Mouse Pokémon,Normal,None,0.7,18.5,Run Away,Guts,Hustle,413,55,81,60,50,70,97
27,20,Alolan Raticate,1,Mouse Pokémon,Dark,Normal,0.7,25.5,Gluttony,Hustle,Thick Fat,413,75,71,70,40,80,77
28,21,Spearow,1,Tiny Bird Pokémon,Normal,Flying,0.3,2,Keen Eye,None,Sniper,262,40,60,30,31,31,70
29,22,Fearow,1,Beak Pokémon,Normal,Flying,1.2,38,Keen Eye,None,Sniper,442,65,90,65,61,61,100
30,23,Ekans,1,Snake Pokémon,Poison,None,2,6.9,Intimidate,Shed Skin,Unnerve,288,35,60,44,40,54,55
31,24,Arbok,1,Cobra Pokémon,Poison,None,3.5,65,Intimidate,Shed Skin,Unnerve,448,60,95,69,65,79,80
32,25,Pikachu,1,Mouse Pokémon,Electric,None,0.4,6,Static,None,Lightning Rod,320,35,55,40,50,50,90
34,26,Raichu,1,Mouse Pokémon,Electric,None,0.8,30,Static,None,Lightning Rod,485,60,90,55,90,80,110
35,26,Alolan Raichu,1,Mouse Pokémon,Electric,Psychic,0.7,21,Surge Surfer,None,None,485,60,85,50,95,85,110
36,27,Sandshrew,1,Mouse Pokémon,Ground,None,0.6,12,Sand Veil,None,Sand Rush,300,50,75,85,20,30,40
37,27,Alolan Sandshrew,1,Mouse Pokémon,Ice,Steel,0.7,40,Snow Cloak,None,Slush Rush,300,50,75,90,10,35,40
38,28,Sandslash,1,Mouse Pokémon,Ground,None,1,29.5,Sand Veil,None,Sand Rush,450,75,100,110,45,55,65
39,28,Alolan Sandslash,1,Mouse Pokémon,Ice,Steel,1.2,55,Snow Cloak,None,Slush Rush,450,75,100,120,25,65,65
40,29,Nidoran♀,1,Poison Pin Pokémon,Poison,None,0.4,7,Poison Point,Rivalry,Hustle,275,55,47,52,40,40,41
41,30,Nidorina,1,Poison Pin Pokémon,Poison,None,0.8,20,Poison Point,Rivalry,Hustle,365,70,62,67,55,55,56
42,31,Nidoqueen,1,Drill Pokémon,Poison,Ground,1.3,60,Poison Point,Rivalry,Sheer Force,505,90,92,87,75,85,76
43,32,Nidoran♂,1,Poison Pin Pokémon,Poison,None,0.5,9,Poison Point,Rivalry,Hustle,273,46,57,40,40,40,50
44,33,Nidorino,1,Poison Pin Pokémon,Poison,None,0.9,19.5,Poison Point,Rivalry,Hustle,365,61,72,57,55,55,65
45,34,Nidoking,1,Drill Pokémon,Poison,Ground,1.4,62,Poison Point,Rivalry,Sheer Force,505,81,102,77,85,75,85
46,35,Clefairy,1,Fairy Pokémon,Fairy,None,0.6,7.5,Cute Charm,Magic Guard,Friend Guard,323,70,45,48,60,65,35
47,36,Clefable,1,Fairy Pokémon,Fairy,None,1.3,40,Cute Charm,Magic Guard,Unaware,483,95,70,73,95,90,60
48,37,Vulpix,1,Fox Pokémon,Fire,None,0.6,9.9,Flash Fire,None,Drought,299,38,41,40,50,65,65
49,37,Alolan Vulpix,1,Fox Pokémon,Ice,None,0.6,9.9,Snow Cloak,None,Snow Warning,299,38,41,40,50,65,65
50,38,Ninetales,1,Fox Pokémon,Fire,None,1.1,19.9,Flash Fire,None,Drought,505,73,76,75,81,100,100
51,38,Alolan Ninetales,1,Fox Pokémon,Ice,Fairy,1.1,19.9,Snow Cloak,None,Snow Warning,505,73,67,75,81,100,109
52,39,Jigglypuff,1,Balloon Pokémon,Normal,Fairy,0.5,5.5,Cute Charm,Competitive,Friend Guard,270,115,45,20,45,25,20
53,40,Wigglytuff,1,Balloon Pokémon,Normal,Fairy,1,12,Cute Charm,Competitive,Frisk,435,140,70,45,85,50,45
54,41,Zubat,1,Bat Pokémon,Poison,Flying,0.8,7.5,Inner Focus,None,Infiltrator,245,40,45,35,30,40,55
55,42,Golbat,1,Bat Pokémon,Poison,Flying,1.6,55,Inner Focus,None,Infiltrator,455,75,80,70,65,75,90
56,43,Oddish,1,Weed Pokémon,Grass,Poison,0.5,5.4,Chlorophyll,None,Run Away,320,45,50,55,75,65,30
57,44,Gloom,1,Weed Pokémon,Grass,Poison,0.8,8.6,Chlorophyll,None,Stench,395,60,65,70,85,75,40
58,45,Vileplume,1,Flower Pokémon,Grass,Poison,1.2,18.6,Chlorophyll,None,Effect Spore,490,75,80,85,110,90,50
59,46,Paras,1,Mushroom Pokémon,Bug,Grass,0.3,5.4,Effect Spore,Dry Skin,Damp,285,35,70,55,45,55,25
60,47,Parasect,1,Mushroom Pokémon,Bug,Grass,1,29.5,Effect Spore,Dry Skin,Damp,405,60,95,80,60,80,30
61,48,Venonat,1,Insect Pokémon,Bug,Poison,1,30,Compound Eyes,Tinted Lens,Run Away,305,60,55,50,40,55,45
62,49,Venomoth,1,Poison Moth Pokémon,Bug,Poison,1.5,12.5,Shield Dust,Tinted Lens,Wonder Skin,450,70,65,60,90,75,90
63,50,Diglett,1,Mole Pokémon,Ground,None,0.2,0.8,Sand Veil,Arena Trap,Sand Force,265,10,55,25,35,45,95
64,50,Alolan Diglett,1,Mole Pokémon,Ground,Steel,0.2,1,Sand Veil,Tangling Hair,Sand Force,265,10,55,30,35,45,90
65,51,Dugtrio,1,Mole Pokémon,Ground,None,0.7,33.3,Sand Veil,Arena Trap,Sand Force,425,35,100,50,50,70,120
66,51,Alolan Dugtrio,1,Mole Pokémon,Ground,Steel,0.7,66.6,Sand Veil,Tangling Hair,Sand Force,425,35,100,60,50,70,110
67,52,Meowth,1,Scratch Cat Pokémon,Normal,None,0.4,4.2,Pickup,Technician,Unnerve,290,40,45,35,40,40,90
68,52,Alolan Meowth,1,Scratch Cat Pokémon,Dark,None,0.4,4.2,Pickup,Technician,Rattled,290,40,35,35,50,40,90
69,52,Galarian Meowth,1,Scratch Cat Pokémon,Steel,None,0.4,7.5,Pickup,Tough Claws,Unnerve,290,50,65,55,40,40,40
70,53,Persian,1,Classy Cat Pokémon,Normal,None,1,32,Limber,Technician,Unnerve,440,65,70,60,65,65,115
71,53,Alolan Persian,1,Classy Cat Pokémon,Dark,None,1.1,33,Fur Coat,Technician,Rattled,440,65,60,60,75,65,115
72,54,Psyduck,1,Duck Pokémon,Water,None,0.8,19.6,Damp,Cloud Nine,Swift Swim,320,50,52,48,65,50,55
73,55,Golduck,1,Duck Pokémon,Water,None,1.7,76.6,Damp,Cloud Nine,Swift Swim,500,80,82,78,95,80,85
74,56,Mankey,1,Pig Monkey Pokémon,Fighting,None,0.5,28,Vital Spirit,Anger Point,Defiant,305,40,80,35,35,45,70
75,57,Primeape,1,Pig Monkey Pokémon,Fighting,None,1,32,Vital Spirit,Anger Point,Defiant,455,65,105,60,60,70,95
76,58,Growlithe,1,Puppy Pokémon,Fire,None,0.7,19,Intimidate,Flash Fire,Justified,350,55,70,45,70,50,60
77,59,Arcanine,1,Legendary Pokémon,Fire,None,1.9,155,Intimidate,Flash Fire,Justified,555,90,110,80,100,80,95
78,60,Poliwag,1,Tadpole Pokémon,Water,None,0.6,12.4,Water Absorb,Damp,Swift Swim,300,40,50,40,40,40,90
79,61,Poliwhirl,1,Tadpole Pokémon,Water,None,1,20,Water Absorb,Damp,Swift Swim,385,65,65,65,50,50,90
80,62,Poliwrath,1,Tadpole Pokémon,Water,Fighting,1.3,54,Water Absorb,Damp,Swift Swim,510,90,95,95,70,90,70
81,63,Abra,1,Psi Pokémon,Psychic,None,0.9,19.5,Synchronize,Inner Focus,Magic Guard,310,25,20,15,105,55,90
82,64,Kadabra,1,Psi Pokémon,Psychic,None,1.3,56.5,Synchronize,Inner Focus,Magic Guard,400,40,35,30,120,70,105
83,65,Alakazam,1,Psi Pokémon,Psychic,None,1.5,48,Synchronize,Inner Focus,Magic Guard,500,55,50,45,135,95,120
84,65,Mega Alakazam,1,Psi Pokémon,Psychic,None,1.2,48,Trace,None,None,600,55,50,65,175,105,150
85,66,Machop,1,Superpower Pokémon,Fighting,None,0.8,19.5,Guts,No Guard,Steadfast,305,70,80,50,35,35,35
86,67,Machoke,1,Superpower Pokémon,Fighting,None,1.5,70.5,Guts,No Guard,Steadfast,405,80,100,70,50,60,45
87,68,Machamp,1,Superpower Pokémon,Fighting,None,1.6,130,Guts,No Guard,Steadfast,505,90,130,80,65,85,55
88,69,Bellsprout,1,Flower Pokémon,Grass,Poison,0.7,4,Chlorophyll,None,Gluttony,300,50,75,35,70,30,40
89,70,Weepinbell,1,Flycatcher Pokémon,Grass,Poison,1,6.4,Chlorophyll,None,Gluttony,390,65,90,50,85,45,55
90,71,Victreebel,1,Flycatcher Pokémon,Grass,Poison,1.7,15.5,Chlorophyll,None,Gluttony,490,80,105,65,100,70,70
91,72,Tentacool,1,Jellyfish Pokémon,Water,Poison,0.9,45.5,Clear Body,Liquid Ooze,Rain Dish,335,40,40,35,50,100,70
92,73,Tentacruel,1,Jellyfish Pokémon,Water,Poison,1.6,55,Clear Body,Liquid Ooze,Rain Dish,515,80,70,65,80,120,100
93,74,Geodude,1,Rock Pokémon,Rock,Ground,0.4,20,Rock Head,Sturdy,Sand Veil,300,40,80,100,30,30,20
94,74,Alolan Geodude,1,Rock Pokémon,Rock,Electric,0.4,20.3,Magnet Pull,Sturdy,Galvanize,300,40,80,100,30,30,20
95,75,Graveler,1,Rock Pokémon,Rock,Ground,1,105,Rock Head,Sturdy,Sand Veil,390,55,95,115,45,45,35
96,75,Alolan Graveler,1,Rock Pokémon,Rock,Electric,1,110,Magnet Pull,Sturdy,Galvanize,390,55,95,115,45,45,35
97,76,Golem,1,Megaton Pokémon,Rock,Ground,1.4,300,Rock Head,Sturdy,Sand Veil,495,80,120,130,55,65,45
98,76,Alolan Golem,1,Megaton Pokémon,Rock,Electric,1.7,316,Magnet Pull,Sturdy,Galvanize,495,80,120,130,55,65,45
99,77,Ponyta,1,Fire Horse Pokémon,Fire,None,1,30,Run Away,Flash Fire,Flame Body,410,50,85,55,65,65,90
100,77,Galarian Ponyta,1,Unique Horn Pokémon,Psychic,None,0.8,24,Run Away,Pastel Veil,Anticipation,410,50,85,55,65,65,90
101,78,Rapidash,1,Fire Horse Pokémon,Fire,None,1.7,95,Run Away,Flash Fire,Flame Body,500,65,100,70,80,80,105
102,78,Galarian Rapidash,1,Unique Horn Pokémon,Psychic,Fairy,1.7,80,Run Away,Pastel Veil,Anticipation,500,65,100,70,80,80,105
103,79,Slowpoke,1,Dopey Pokémon,Water,Psychic,1.2,36,Oblivious,Own Tempo,Regenerator,315,90,65,65,40,40,15
104,79,Galarian Slowpoke,8,Dopey Pokémon,Psychic,None,1.2,36,Gluttony,Own Tempo,Regenerator,315,90,65,65,40,40,15
105,80,Slowbro,1,Hermit Crab Pokémon,Water,Psychic,1.6,78.5,Oblivious,Own Tempo,Regenerator,490,95,75,110,100,80,30
106,80,Mega Slowbro,1,Hermit Crab Pokémon,Water,Psychic,2,120,Shell Armor,None,None,590,95,75,180,130,80,30
107,80,Galarian Slowbro,8,Hermit Crab Pokémon,Poison,Psychic,1.6,70.5,Quick Draw,Own Tempo,Regenerator,490,95,100,95,100,70,30
108,81,Magnemite,1,Magnet Pokémon,Electric,Steel,0.3,6,Magnet Pull,Sturdy,Analytic,325,25,35,70,95,55,45
109,82,Magneton,1,Magnet Pokémon,Electric,Steel,1,60,Magnet Pull,Sturdy,Analytic,465,50,60,95,120,70,70
110,83,Farfetch'd,1,Wild Duck Pokémon,Normal,Flying,0.8,15,Keen Eye,Inner Focus,Defiant,377,52,90,55,58,62,60
111,83,Galarian Farfetch'd,1,Wild Duck Pokémon,Fighting,None,0.8,42,Steadfast,None,Scrappy,377,52,95,55,58,62,55
112,84,Doduo,1,Twin Bird Pokémon,Normal,Flying,1.4,39.2,Run Away,Early Bird,Tangled Feet,310,35,85,45,35,35,75
113,85,Dodrio,1,Triple Bird Pokémon,Normal,Flying,1.8,85.2,Run Away,Early Bird,Tangled Feet,470,60,110,70,60,60,110
114,86,Seel,1,Sea Lion Pokémon,Water,None,1.1,90,Thick Fat,Hydration,Ice Body,325,65,45,55,45,70,45
115,87,Dewgong,1,Sea Lion Pokémon,Water,Ice,1.7,120,Thick Fat,Hydration,Ice Body,475,90,70,80,70,95,70
116,88,Grimer,1,Sludge Pokémon,Poison,None,0.9,30,Stench,Sticky Hold,Poison Touch,325,80,80,50,40,50,25
117,88,Alolan Grimer,1,Sludge Pokémon,Poison,Dark,0.7,42,Poison Touch,Gluttony,Power of Alchemy,325,80,80,50,40,50,25
118,89,Muk,1,Sludge Pokémon,Poison,None,1.2,30,Stench,Sticky Hold,Poison Touch,500,105,105,75,65,100,50
119,89,Alolan Muk,1,Sludge Pokémon,Poison,Dark,1,52,Poison Touch,Gluttony,Power of Alchemy,500,105,105,75,65,100,50
120,90,Shellder,1,Bivalve Pokémon,Water,None,0.3,4,Shell Armor,Skill Link,Overcoat,305,30,65,100,45,25,40
121,91,Cloyster,1,Bivalve Pokémon,Water,Ice,1.5,132.5,Shell Armor,Skill Link,Overcoat,525,50,95,180,85,45,70
122,92,Gastly,1,Gas Pokémon,Ghost,Poison,1.3,0.1,Levitate,None,None,310,30,35,30,100,35,80
123,93,Haunter,1,Gas Pokémon,Ghost,Poison,1.6,0.1,Levitate,None,None,405,45,50,45,115,55,95
124,94,Gengar,1,Shadow Pokémon,Ghost,Poison,1.5,40.5,Cursed Body,None,None,500,60,65,60,130,75,110
125,94,Mega Gengar,1,Shadow Pokémon,Ghost,Poison,1.4,40.5,Shadow Tag,None,None,600,60,65,80,170,95,130
126,95,Onix,1,Rock Snake Pokémon,Rock,Ground,8.8,210,Rock Head,Sturdy,Weak Armor,385,35,45,160,30,45,70
127,96,Drowzee,1,Hypnosis Pokémon,Psychic,None,1,32.4,Insomnia,Forewarn,Inner Focus,328,60,48,45,43,90,42
128,97,Hypno,1,Hypnosis Pokémon,Psychic,None,1.6,75.6,Insomnia,Forewarn,Inner Focus,483,85,73,70,73,115,67
129,98,Krabby,1,River Crab Pokémon,Water,None,0.4,6.5,Hyper Cutter,Shell Armor,Sheer Force,325,30,105,90,25,25,50
130,99,Kingler,1,Pincer Pokémon,Water,None,1.3,60,Hyper Cutter,Shell Armor,Sheer Force,475,55,130,115,50,50,75
131,100,Voltorb,1,Ball Pokémon,Electric,None,0.5,10.4,Soundproof,Static,Aftermath,330,40,30,50,55,55,100
132,101,Electrode,1,Ball Pokémon,Electric,None,1.2,66.6,Soundproof,Static,Aftermath,490,60,50,70,80,80,150
133,102,Exeggcute,1,Egg Pokémon,Grass,Psychic,0.4,2.5,Chlorophyll,None,Harvest,325,60,40,80,60,45,40
134,103,Exeggutor,1,Coconut Pokémon,Grass,Psychic,2,120,Chlorophyll,None,Harvest,530,95,95,85,125,75,55
135,103,Alolan Exeggutor,1,Coconut Pokémon,Grass,Dragon,10.9,415.6,Frisk,None,Harvest,530,95,105,85,125,75,45
136,104,Cubone,1,Lonely Pokémon,Ground,None,0.4,6.5,Rock Head,Lightning Rod,Battle Armor,320,50,50,95,40,50,35
137,105,Marowak,1,Bone Keeper Pokémon,Ground,None,1,45,Rock Head,Lightning Rod,Battle Armor,425,60,80,110,50,80,45
138,105,Alolan Marowak,1,Bone Keeper Pokémon,Fire,Ghost,1,34,Cursed Body,Lightning Rod,Rock Head,425,60,80,110,50,80,45
139,106,Hitmonlee,1,Kicking Pokémon,Fighting,None,1.5,49.8,Limber,Reckless,Unburden,455,50,120,53,35,110,87
140,107,Hitmonchan,1,Punching Pokémon,Fighting,None,1.4,50.2,Keen Eye,Iron Fist,Inner Focus,455,50,105,79,35,110,76
141,108,Lickitung,1,Licking Pokémon,Normal,None,1.2,65.5,Own Tempo,Oblivious,Cloud Nine,385,90,55,75,60,75,30
142,109,Koffing,1,Poison Gas Pokémon,Poison,None,0.6,1,Levitate,Neutralizing Gas,Stench,340,40,65,95,60,45,35
143,110,Weezing,1,Poison Gas Pokémon,Poison,None,1.2,9.5,Levitate,Neutralizing Gas,Stench,490,65,90,120,85,70,60
144,110,Galarian Weezing,1,Poison Gas Pokémon,Poison,Fairy,3,16,Levitate,Neutralizing Gas,Misty Surge,490,65,90,120,85,70,60
145,111,Rhyhorn,1,Spikes Pokémon,Ground,Rock,1,115,Lightning Rod,Rock Head,Reckless,345,80,85,95,30,30,25
146,112,Rhydon,1,Drill Pokémon,Ground,Rock,1.9,120,Lightning Rod,Rock Head,Reckless,485,105,130,120,45,45,40
147,113,Chansey,1,Egg Pokémon,Normal,None,1.1,34.6,Natural Cure,Serene Grace,Healer,450,250,5,5,35,105,50
148,114,Tangela,1,Vine Pokémon,Grass,None,1,35,Chlorophyll,Leaf Guard,Regenerator,435,65,55,115,100,40,60
149,115,Kangaskhan,1,Parent Pokémon,Normal,None,2.2,80,Early Bird,Scrappy,Inner Focus,490,105,95,80,40,80,90
150,115,Mega Kangaskhan,1,Parent Pokémon,Normal,None,2.2,100,Parental Bond,None,None,590,105,125,100,60,100,100
151,116,Horsea,1,Dragon Pokémon,Water,None,0.4,8,Swift Swim,Sniper,Damp,295,30,40,70,70,25,60
152,117,Seadra,1,Dragon Pokémon,Water,None,1.2,25,Poison Point,Sniper,Damp,440,55,65,95,95,45,85
153,118,Goldeen,1,Goldfish Pokémon,Water,None,0.6,15,Swift Swim,Water Veil,Lightning Rod,320,45,67,60,35,50,63
154,119,Seaking,1,Goldfish Pokémon,Water,None,1.3,39,Swift Swim,Water Veil,Lightning Rod,450,80,92,65,65,80,68
155,120,Staryu,1,Star Shape Pokémon,Water,None,0.8,34.5,Illuminate,Natural Cure,Analytic,340,30,45,55,70,55,85
156,121,Starmie,1,Mysterious Pokémon,Water,Psychic,1.1,80,Illuminate,Natural Cure,Analytic,520,60,75,85,100,85,115
157,122,Mr. Mime,1,Barrier Pokémon,Psychic,Fairy,1.3,54.5,Soundproof,Filter,Technician,460,40,45,65,100,120,90
158,122,Galarian Mr. Mime,1,Dancing Pokémon,Psychic,Ice,1.4,56.8,Vital Spirit,Screen Cleaner,Ice Body,460,50,65,65,90,90,100
159,123,Scyther,1,Mantis Pokémon,Bug,Flying,1.5,56,Swarm,Technician,Steadfast,500,70,110,80,55,80,105
160,124,Jynx,1,Human Shape Pokémon,Ice,Psychic,1.4,40.6,Oblivious,Forewarn,Dry Skin,455,65,50,35,115,95,95
161,125,Electabuzz,1,Electric Pokémon,Electric,None,1.1,30,Static,None,Vital Spirit,490,65,83,57,95,85,105
162,126,Magmar,1,Spitfire Pokémon,Fire,None,1.3,44.5,Flame Body,None,Vital Spirit,495,65,95,57,100,85,93
163,127,Pinsir,1,Stag Beetle Pokémon,Bug,None,1.5,55,Hyper Cutter,Mold Breaker,Moxie,500,65,125,100,55,70,85
164,127,Mega Pinsir,1,Stag Beetle Pokémon,Bug,Flying,1.7,59,Aerilate,None,None,600,65,155,120,65,90,105
165,128,Tauros,1,Wild Bull Pokémon,Normal,None,1.4,88.4,Intimidate,Anger Point,Sheer Force,490,75,100,95,40,70,110
166,129,Magikarp,1,Fish Pokémon,Water,None,0.9,10,Swift Swim,None,Rattled,200,20,10,55,15,20,80
167,130,Gyarados,1,Atrocious Pokémon,Water,Flying,6.5,235,Intimidate,None,Moxie,540,95,125,79,60,100,81
168,130,Mega Gyarados,1,Atrocious Pokémon,Water,Dark,6.5,305,Mold Breaker,None,None,640,95,155,109,70,130,81
169,131,Lapras,1,Transport Pokémon,Water,Ice,2.5,220,Water Absorb,Shell Armor,Hydration,535,130,85,80,85,95,60
170,132,Ditto,1,Transform Pokémon,Normal,None,0.3,4,Limber,None,Imposter,288,48,48,48,48,48,48
171,133,Eevee,1,Evolution Pokémon,Normal,None,0.3,6.5,Run Away,Adaptability,Anticipation,325,55,55,50,45,65,55
173,134,Vaporeon,1,Bubble Jet Pokémon,Water,None,1,29,Water Absorb,None,Hydration,525,130,65,60,110,95,65
174,135,Jolteon,1,Lightning Pokémon,Electric,None,0.8,24.5,Volt Absorb,None,Quick Feet,525,65,65,60,110,95,130
175,136,Flareon,1,Flame Pokémon,Fire,None,0.9,25,Flash Fire,None,Guts,525,65,130,60,95,110,65
176,137,Porygon,1,Virtual Pokémon,Normal,None,0.8,36.5,Trace,Download,Analytic,395,65,60,70,85,75,40
177,138,Omanyte,1,Spiral Pokémon,Rock,Water,0.4,7.5,Swift Swim,Shell Armor,Weak Armor,355,35,40,100,90,55,35
178,139,Omastar,1,Spiral Pokémon,Rock,Water,1,35,Swift Swim,Shell Armor,Weak Armor,495,70,60,125,115,70,55
179,140,Kabuto,1,Shellfish Pokémon,Rock,Water,0.5,11.5,Swift Swim,Battle Armor,Weak Armor,355,30,80,90,55,45,55
180,141,Kabutops,1,Shellfish Pokémon,Rock,Water,1.3,40.5,Swift Swim,Battle Armor,Weak Armor,495,60,115,105,65,70,80
181,142,Aerodactyl,1,Fossil Pokémon,Rock,Flying,1.8,59,Rock Head,Pressure,Unnerve,515,80,105,65,60,75,130
182,142,Mega Aerodactyl,1,Fossil Pokémon,Rock,Flying,2.1,79,Tough Claws,None,None,615,80,135,85,70,95,150
183,143,Snorlax,1,Sleeping Pokémon,Normal,None,2.1,460,Immunity,Thick Fat,Gluttony,540,160,110,65,65,110,30
184,144,Articuno,1,Freeze Pokémon,Ice,Flying,1.7,55.4,Pressure,None,Snow Cloak,580,90,85,100,95,125,85
185,144,Galarian Articuno,8,Cruel Pokémon,Psychic,Flying,1.7,50.9,Competitive,None,None,580,90,85,85,125,100,95
186,145,Zapdos,1,Electric Pokémon,Electric,Flying,1.6,52.6,Pressure,None,Static,580,90,90,85,125,90,100
187,145,Galarian Zapdos,8,Strong Legs Pokémon,Fighting,Flying,1.6,58.2,Defiant,None,None,580,90,125,90,85,90,100
188,146,Moltres,1,Flame Pokémon,Fire,Flying,2,60,Pressure,None,Flame Body,580,90,100,90,125,85,90
189,146,Galarian Moltres,8,Malevolent Pokémon,Dark,Flying,2,66,Berserk,None,None,580,90,85,90,100,125,90
190,147,Dratini,1,Dragon Pokémon,Dragon,None,1.8,3.3,Shed Skin,None,Marvel Scale,300,41,64,45,50,50,50
191,148,Dragonair,1,Dragon Pokémon,Dragon,None,4,16.5,Shed Skin,None,Marvel Scale,420,61,84,65,70,70,70
192,149,Dragonite,1,Dragon Pokémon,Dragon,Flying,2.2,210,Inner Focus,None,Multiscale,600,91,134,95,100,100,80
193,150,Mewtwo,1,Genetic Pokémon,Psychic,None,2,122,Pressure,None,Unnerve,680,106,110,90,154,90,130
194,150,Mega Mewtwo X,1,Genetic Pokémon,Psychic,Fighting,2.3,127,Steadfast,None,None,780,106,190,100,154,100,130
195,150,Mega Mewtwo Y,1,Genetic Pokémon,Psychic,None,1.5,33,Insomnia,None,None,780,106,150,70,194,120,140
196,151,Mew,1,New Species Pokémon,Psychic,None,0.4,4,Synchronize,None,None,600,100,100,100,100,100,100
197,152,Chikorita,2,Leaf Pokémon,Grass,None,0.9,6.4,Overgrow,None,Leaf Guard,318,45,49,65,49,65,45
198,153,Bayleef,2,Leaf Pokémon,Grass,None,1.2,15.8,Overgrow,None,Leaf Guard,405,60,62,80,63,80,60
199,154,Meganium,2,Herb Pokémon,Grass,None,1.8,100.5,Overgrow,None,Leaf Guard,525,80,82,100,83,100,80
200,155,Cyndaquil,2,Fire Mouse Pokémon,Fire,None,0.5,7.9,Blaze,None,Flash Fire,309,39,52,43,60,50,65
201,156,Quilava,2,Volcano Pokémon,Fire,None,0.9,19,Blaze,None,Flash Fire,405,58,64,58,80,65,80
202,157,Typhlosion,2,Volcano Pokémon,Fire,None,1.7,79.5,Blaze,None,Flash Fire,534,78,84,78,109,85,100
203,158,Totodile,2,Big Jaw Pokémon,Water,None,0.6,9.5,Torrent,None,Sheer Force,314,50,65,64,44,48,43
204,159,Croconaw,2,Big Jaw Pokémon,Water,None,1.1,25,Torrent,None,Sheer Force,405,65,80,80,59,63,58
205,160,Feraligatr,2,Big Jaw Pokémon,Water,None,2.3,88.8,Torrent,None,Sheer Force,530,85,105,100,79,83,78
206,161,Sentret,2,Scout Pokémon,Normal,None,0.8,6,Run Away,Keen Eye,Frisk,215,35,46,34,35,45,20
